request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete,calc_days
CLOSED,2016-06-11,2016-06-17,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,6,6
CLOSED,2016-06-15,2016-06-17,NA,Roads and Traffic,Drain Maintenance,2,2
CLOSED,2016-06-10,2016-06-16,NA,Graffiti,Graffiti Removal,6,6
CLOSED,2016-06-16,2016-06-22,NA,Asset maintenance,Street Lighting Maintenance,6,6
CLOSED,2016-06-16,2016-06-20,NA,Asset maintenance,Street Lighting Maintenance,4,4
CLOSED,2016-02-25,2016-03-04,Melbourne,Roads and Traffic,Drain Maintenance,8,8
CLOSED,2016-03-29,2016-03-30,Carlton,Graffiti,Graffiti Removal,1,1
CLOSED,2016-06-18,2016-06-23,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,5,5
CLOSED,2016-06-20,2016-06-22,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,2,2
CLOSED,2015-06-17,2015-06-30,Melbourne,Graffiti,Graffiti Removal,13,13
CLOSED,2015-10-20,2015-10-22,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,2,2
CLOSED,2015-11-06,2015-11-10,NA,"Waste, Street Cleaning and Litter",Missing Bin,4,4
CLOSED,2016-02-04,2016-02-11,NA,"Waste, Street Cleaning and Litter",Missing Bin,7,7
CLOSED,2015-06-03,2015-06-18,North Melbourne,Parks and Trees,Lawns and Irrigation,15,15
CLOSED,2016-05-04,2016-05-11,NA,"Waste, Street Cleaning and Litter",Waste collection services,7,7
CLOSED,2016-05-02,2016-05-12,NA,Roads and Traffic,Traffic Management,10,10
CLOSED,2016-03-07,2016-03-30,NA,Graffiti,Graffiti Removal,23,23
CLOSED,2016-03-07,2016-03-11,NA,"Waste, Street Cleaning and Litter",Waste collection services,4,4
CLOSED,2015-11-06,2015-12-23,NA,Asset maintenance,Street Maintenance,47,47
CLOSED,2016-05-04,2016-05-08,NA,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-10-16,2015-11-04,NA,"Waste, Street Cleaning and Litter",Waste collection services,19,19
CLOSED,2016-05-04,2016-05-09,West Melbourne,Roads and Traffic,Road and Footpath Maintenance,5,5
CLOSED,2015-04-24,2015-04-29,Kensington,"Waste, Street Cleaning and Litter",Waste collection services,5,5
CLOSED,2016-05-02,2016-05-16,NA,Parks and Trees,Condition of Assets in Parks,14,14
CLOSED,2016-03-09,2016-03-21,NA,Graffiti,Graffiti Removal,12,12
CLOSED,2015-11-19,2016-01-15,NA,Asset maintenance,Street Lighting Maintenance,57,57
CLOSED,2015-04-10,2015-05-05,South Yarra,Parks and Trees,Park Cleaning,25,25
CLOSED,2015-04-10,2015-04-14,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2016-03-10,2016-03-29,NA,"Waste, Street Cleaning and Litter",Syringe pick-up services,19,19
CLOSED,2015-11-19,2015-11-20,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,1,1
CLOSED,2015-10-15,2015-11-04,NA,Graffiti,Graffiti Removal,20,20
CLOSED,2015-11-19,2015-11-25,NA,"Waste, Street Cleaning and Litter",Damaged Bins,6,6
CLOSED,2016-04-29,2016-05-02,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2015-10-15,2015-10-20,NA,Graffiti,Graffiti Removal,5,5
CLOSED,2015-11-17,2015-11-23,NA,Parks and Trees,Tree Maintenance Services,6,6
CLOSED,2015-10-05,2015-10-26,NA,Graffiti,Graffiti Removal,21,21
CLOSED,2015-09-08,2015-09-17,East Melbourne,Parks and Trees,Condition of Assets in Parks,9,9
CLOSED,2016-01-06,2016-01-06,NA,"Waste, Street Cleaning and Litter",Street Cleaning services,0,0
CLOSED,2015-11-19,2015-11-24,NA,"Waste, Street Cleaning and Litter",Dumped Rubbish,5,5
CLOSED,2015-10-20,2015-10-27,NA,Roads and Traffic,Road and Footpath Maintenance,7,7
CLOSED,2015-10-20,2015-10-22,NA,Parks and Trees,Tree Maintenance Services,2,2
CLOSED,2015-11-06,2015-12-08,NA,Parks and Trees,Tree Maintenance Services,32,32
CLOSED,2015-10-20,2015-10-22,NA,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2016-01-06,2016-01-07,NA,"Waste, Street Cleaning and Litter",Public Litter Bin,1,1
CLOSED,2016-03-04,2016-03-09,NA,Graffiti,Graffiti Removal,5,5
CLOSED,2015-10-21,2015-10-23,NA,Roads and Traffic,Road and Footpath Maintenance,2,2
CLOSED,2015-12-23,2015-12-30,North Melbourne,Roads and Traffic,Road and Footpath Maintenance,7,7
CLOSED,2015-10-20,2015-11-06,NA,Graffiti,Graffiti Removal,17,17
CLOSED,2016-05-03,2016-05-05,NA,"Waste, Street Cleaning and Litter",Waste collection services,2,2
CLOSED,2015-12-10,2015-12-18,NA,Graffiti,Graffiti Removal,8,8
CLOSED,2015-05-04,2015-05-07,Port Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,3,3
CLOSED,2015-11-13,2015-11-16,Carlton,Parks and Trees,Tree Maintenance Services,3,3
CLOSED,2016-01-27,2016-02-02,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,6,6
CLOSED,2016-04-24,2016-05-03,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,9,9
CLOSED,2016-03-06,2016-03-11,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,5,5
CLOSED,2015-05-15,2015-05-18,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3,3
CLOSED,2015-05-15,2015-06-22,West Melbourne,Parks and Trees,Tree Maintenance Services,38,38
CLOSED,2015-08-26,2015-08-28,East Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2,2
CLOSED,2015-01-16,2015-01-17,Kensington,"Waste, Street Cleaning and Litter",Dumped Rubbish,1,1
CLOSED,2015-11-26,2015-12-01,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,5,5
CLOSED,2015-10-03,2015-10-07,Docklands,"Waste, Street Cleaning and Litter",Damaged Bins,4,4
CLOSED,2015-11-20,2015-12-01,South Yarra,Graffiti,Graffiti Removal,11,11
CLOSED,2014-12-18,2014-12-24,Carlton North,Parks and Trees,Tree Maintenance Services,6,6
CLOSED,2016-05-02,2016-05-06,Kensington,Graffiti,Graffiti Removal,4,4
