request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete
CLOSED,2015-06-18,2015-09-28,,Roads and Traffic,Traffic Management,102
CLOSED,2014-11-13,2014-12-02,,Roads and Traffic,Traffic Management,19
CLOSED,2015-05-27,2015-06-16,,Asset maintenance,Street Lighting Maintenance,20
CLOSED,2015-01-22,2015-02-03,,Graffiti,Graffiti Removal,12
CLOSED,2014-12-18,2014-12-22,,"Waste, Street Cleaning and Litter",Public Litter Bin,4
CLOSED,2015-02-26,2015-02-27,,"Waste, Street Cleaning and Litter",Damaged Bins,1
CLOSED,2015-04-10,2015-04-15,,"Waste, Street Cleaning and Litter",Missing Bin,5
CLOSED,2015-01-08,2015-01-12,,"Waste, Street Cleaning and Litter",Dumped Rubbish,4
CLOSED,2014-11-18,2014-11-21,,Parks and Trees,Tree Maintenance Services,3
CLOSED,2015-02-05,2015-02-05,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2015-01-05,2015-01-06,,"Waste, Street Cleaning and Litter",Public Litter Bin,1
CLOSED,2015-02-05,2015-03-02,,Roads and Traffic,Traffic Management,25
CLOSED,2015-06-22,2015-06-23,,"Waste, Street Cleaning and Litter",Waste collection services,1
CLOSED,2014-12-01,2015-02-17,,Roads and Traffic,Road and Footpath Maintenance,78
CLOSED,2014-12-23,2014-12-23,,Parking,Parking Compliance Services,1
CLOSED,2014-12-22,2014-12-22,,Asset maintenance,Street Lighting Maintenance,1
CLOSED,2015-01-16,2015-01-21,,"Waste, Street Cleaning and Litter",Public Litter Bin,5
CLOSED,2015-04-24,2015-04-28,,Asset maintenance,Street Lighting Maintenance,4
CLOSED,2014-12-01,2014-12-04,,"Waste, Street Cleaning and Litter",Dumped Rubbish,3
CLOSED,2015-01-23,2015-01-27,,"Waste, Street Cleaning and Litter",Waste collection services,4
CLOSED,2015-03-12,2015-03-13,,"Waste, Street Cleaning and Litter",Public Litter Bin,1
CLOSED,2015-03-12,2015-03-16,,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
CLOSED,2015-03-17,2015-03-18,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2015-03-14,2015-03-17,,"Waste, Street Cleaning and Litter",Dumped Rubbish,3
CLOSED,2015-01-31,2015-02-01,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2015-01-30,2015-02-17,,Parks and Trees,Park Cleaning,18
CLOSED,2015-01-31,2015-02-13,,Graffiti,Graffiti Removal,13
CLOSED,2015-04-13,2015-04-13,,"Waste, Street Cleaning and Litter",Syringe pick-up services,1
CLOSED,2015-04-27,2015-06-04,,Parks and Trees,Park Cleaning,38
CLOSED,2015-04-13,2015-04-20,,Graffiti,Graffiti Removal,7
CLOSED,2015-06-15,2015-07-17,,"Waste, Street Cleaning and Litter",Street Cleaning services,32
CLOSED,2015-04-28,2015-04-28,,Parking,Parking Compliance Services,1
CLOSED,2015-01-20,2015-03-02,,Roads and Traffic,Road and Footpath Maintenance,41
CLOSED,2015-04-02,2015-04-08,,Roads and Traffic,Traffic Management,6
CLOSED,2015-03-25,2015-03-26,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2015-04-25,2015-04-25,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2015-01-07,2015-01-15,,"Waste, Street Cleaning and Litter",Street Cleaning services,8
CLOSED,2015-03-17,2015-03-19,,Roads and Traffic,Road and Footpath Maintenance,2
CLOSED,2015-04-09,2015-05-04,,Parks and Trees,Tree Maintenance Services,25
CLOSED,2015-04-20,2015-04-21,,"Waste, Street Cleaning and Litter",Street Cleaning services,1
CLOSED,2015-09-23,2015-09-23,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2014-12-16,2014-12-17,,"Waste, Street Cleaning and Litter",Street Cleaning services,1
CLOSED,2015-02-10,2015-02-11,,"Waste, Street Cleaning and Litter",Public Litter Bin,1
CLOSED,2015-03-03,2015-03-31,,Roads and Traffic,Road and Footpath Maintenance,28
CLOSED,2015-05-11,2015-06-23,,Asset maintenance,Street Lighting Maintenance,43
